Timestamp;I agree to participate in this research;Type this code: Z1T70K;;Question 1. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (1);Question 2. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (2);Question 3. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (3);Question 4. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (4);Question 5. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (5);Question 6. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (6);I confirm that I have noted the above verification code for submission on Mechanical Turk.;Finally, any thoughts you wish to add about your experience participating in this survey?
2020/11/25 11:28:36 am EET;Yes;WBNS9J;wealthy;2;I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.;5;I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;4;I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.;2;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;3;"I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;I do not endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.";5;"I do not endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;I do not endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.";Yes;N/a 
2020/11/25 11:30:03 am EET;Yes;I7Y8DD;wealthy;4;"I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.;I do not endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.";5;"I do not endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;I do not endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.";4;I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;4;"I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;I do not endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.";5;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;3;"I do not endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;I do not endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.";Yes;NICE
2020/11/25 11:31:35 am EET;Yes;6XQS2G;wealthy;2;I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;2;I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.;4;I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.;1;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;2;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;No
2020/11/25 11:33:49 am EET;Yes;FG3JK;wealthy;2;I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;2;I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.;2;I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;2;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;1;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;It was an interesting survey.
2020/11/25 11:34:47 am EET;Yes;I7Y8DD;wealthy;2;I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;4;I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;1;I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;4;I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;1;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;Great survey! Thank you.
2020/11/25 11:35:13 am EET;Yes;205PCL;wealthy;2;I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;3;I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.;2;I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.;1;I do not endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;3;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;It was fun!
2020/11/25 11:35:15 am EET;Yes;6XQS2G;wealthy;4;I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.;4;I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;4;I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;4;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;5;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.;Yes;very nice
2020/11/25 11:35:16 am EET;Yes;WBNS9J;wealthy;2;I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;2;I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.;2;I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;2;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;2;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;Straightforward survey altogether. 
2020/11/25 11:37:15 am EET;Yes;UWHCJM;wealthy;3;I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;4;I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;3;I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;2;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;3;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;
2020/11/25 11:37:17 am EET;Yes;KORJRC;wealthy;5;I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.;5;"I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;I do not endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.";3;"I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;I do not endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.";4;"I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;I do not endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;I do not endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.";5;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;I GATHER INFORMATION
2020/11/25 11:40:06 am EET;Yes;VWQN5I;wealthy;3;I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;3;I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.;4;I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;3;I do not endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;4;I do endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.;3;I do not endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;good
2020/11/25 11:41:47 am EET;Yes;W6ALB6;wealthy;4;I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.;4;I do not endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.;4;I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.;4;I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;4;I do not endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;3;I do endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.;Yes;good
2020/11/25 11:44:05 am EET;Yes;3E23FN;wealthy;4;I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;4;I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;4;I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.;4;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;4;I do endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.;4;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;no
2020/11/25 11:50:25 am EET;Yes;NIWALF;wealthy;3;I do not endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;5;I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;1;I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;4;I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;1;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;
2020/11/25 11:52:22 am EET;Yes;NIWALF;wealthy;4;I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.;4;I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;4;I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;3;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;3;I do not endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;3;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;i feel good.
2020/11/25 12:05:45 pm EET;Yes;5JH5G;wealthy;2;I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;4;I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;4;I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.;4;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;2;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;Enjoyed.
2020/11/25 12:07:16 pm EET;Yes;KGEHH8;wealthy;5;"I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.;I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.";5;"I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.";5;"I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.;I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.";5;"I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.";5;"I do endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.";5;"I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;I do endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.";Yes;I GATHER MORE INFROMATION IN THIS TASK
2020/11/25 12:16:47 pm EET;Yes;KGEHH8;wealthy;3;"I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;Nicole A is a cancer patient, and potentially could be terminally ill.";4;I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;2;"I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;There are many reasons a baby like Daisy M could be crying, and being hungry is just a possible answer.";4;I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;2;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;It was okay. It would help if in the consent it explained better if you are allowed to do any of the 5 mini surveys as you call it, or if you have to start at 1 and do all 4. From what I understood I think you could do any of them, without having to do the others.
2020/11/25 12:28:28 pm EET;Yes;SNSM6;wealthy;4;I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.;4;I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.;5;I do not endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;4;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;3;I do not endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.;3;I do not endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;good
2020/11/25 12:55:51 pm EET;Yes;FJ6GAH;wealthy;5;I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.;5;I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;3;I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;3;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;4;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;This is an interesting study.
2020/11/25 1:24:40 pm EET;Yes;RAV28W;wealthy;1;I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;4;I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;4;I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.;2;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;4;I do endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;no comments other than thanks
