Timestamp;Select only the motorcycle in this Google Form;Enter your batch number here:;I agree to participate in this research;Please confirm that you satisfy all the inclusion criteria by selecting the checkboxes that apply to you;Age;Gender;The new information that if Noel W is a firefighter then Noel W is strong is equivalent to the the new information that either Noel W is not a firefighter or Noel W is strong.;Noel W does save lives follows from the revision of K with the new information that Noel W is a strong firefighter.;Noel W does save lives follows from the revision of K with the new information that either Noel W is not a firefighter or Noel W is strong.;The new information that Wilma D is a car owner, is consistent.;The revision of K with the new information that Wilma D is a car owner, is consistent.;Phillip P does carry a gun follows from the revision of K with the new information that Phillip P is a police officer and Phillip P can arrest a criminal.;Phillip P does carry a gun follows from the result of first revising K with the new information that Philip P is a police officer and then expanding with the new information that Philip P can arrest a criminal.;The revision of K with the new information that Mark M is a science professor is satisfiable with respect to the new information that Mark M does enjoy solving problems.;Mark M is a good teacher follows from the result of first revising K with the new information that Mark M is a science professor and then expanding with the new information that Mark M does enjoy solving problems. ;Mark M is a good teacher follows from the result of revising K with the new information that Mark M is a science professor and Mark M does enjoy solving problems. ;I confirm that I have noted the above verification code for submission on Mechanical Turk.;Finally, any thoughts you wish to add about your experience participating in this survey?
2021/04/10 3:57:17 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";60;Female;4;6;3;10;10;9;9;8;7;8;Yes;These were a bit confusing to me?
2021/04/13 2:15:06 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";30;Male;7;6;5;9;9;10;10;9;7;7;Yes;
2021/04/13 2:29:11 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";45;Female;8;7;1;10;10;9;9;10;3;1;Yes;None
2021/04/13 2:37:18 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";29;Male;5;3;6;8;8;9;5;6;4;3;Yes;
2021/04/13 2:51:41 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";33;Female;2;8;2;10;10;10;10;9;7;7;Yes;no
2021/04/13 2:54:01 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";30;Male;3;4;5;9;2;7;7;4;5;7;Yes;
2021/04/13 3:35:45 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";43;Male;4;9;3;10;10;9;9;7;8;8;Yes;none
2021/04/13 3:41:40 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";62;Female;7;8;7;9;9;8;9;7;8;9;Yes;None
2021/04/13 7:08:33 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";64;Female;2;9;2;8;8;9;9;6;8;8;Yes;no problems
2021/04/16 2:52:10 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";66;Female;8;6;5;10;10;7;9;9;6;6;Yes;None at this time.
2021/04/16 3:11:42 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";39;Male;2;10;2;10;10;10;10;10;9;10;Yes;
2021/04/16 3:19:28 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";38;Male;9;9;5;10;10;10;10;9;7;7;Yes;
2021/04/21 2:22:25 pm EET;Option 2;B2;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";37;Male;2;2;2;6;6;9;9;7;7;2;Yes;None that I can think of
2021/04/21 2:28:25 pm EET;Option 2;B2;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";60;Male;1;10;1;10;10;10;10;9;8;8;Yes;Submitted with Worker ID
2021/04/21 2:34:10 pm EET;Option 2;B2;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";57;Male;3;9;2;6;6;9;9;8;3;3;Yes;Thank you!
2021/04/21 2:40:42 pm EET;Option 2;B2;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";31;Female;8;3;7;10;9;6;4;7;3;3;Yes;I'm not sure how well I did, but it was interesting. Haven't done any HIT like this before (other than part 1 obviously). Thanks!
2021/04/21 2:40:46 pm EET;Option 2;B2;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";25;Male;4;10;5;9;10;10;10;9;10;6;Yes;
2021/04/21 3:34:54 pm EET;Option 2;B2;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";62;Male;4;8;3;5;5;8;10;8;9;5;Yes;
2021/04/22 5:30:39 pm EET;Option 2;B2;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";31;Male;1;8;7;10;10;10;8;4;3;3;Yes;
2021/04/26 9:06:00 pm EET;Option 2;B2;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";31;Female;2;10;3;10;10;10;10;8;9;10;Yes;
