Timestamp;Select only the image with purple balloons in this Google Form;I agree to participate in this research;Please confirm that you satisfy all the inclusion criteria by selecting the checkboxes that apply to you;Age;Gender;𝜓 is a consequence of itself.;The new information (1) follows from the result of updating 𝜓 with the new information (1).;The new information (1) follows from 𝜓.;𝜓 follows from the result of updating 𝜓 with the new information (1).;The result of updating 𝜓 with the new information (1), follows from 𝜓.;Both 𝜓 and the new information (1), is satisfiable.;The result of updating 𝜓 with the new information (1), is satisfiable.;𝜓2 follows from 𝜓1;𝜓1 follows from 𝜓2;The new information (1) follows from the new information (2).;The new information (2) follows from the new information (1).;The result of updating 𝜓2 with the new information (2), follows from the result of updating 𝜓1 with the new information (1).;The result of updating 𝜓1 with the new information (1), follows from the result of updating 𝜓2 with the new information (2).;The result of updating 𝜓 with statement (4), follows from statement (3).;I confirm that I have noted the above verification code for submission on Mechanical Turk.;Finally, any thoughts you wish to add about your experience participating in this survey?
2021/06/25 2:20:15 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";36;Male;7;8;7;8;7;7;6;5;6;5;7;8;6;6;Yes;I have no clue if I did this right or not but I can say that I did try my best based on how I understood this. 
2021/06/25 2:20:40 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";37;Male;9;6;5;8;6;9;9;1;1;1;1;1;1;10;Yes;
2021/06/25 2:21:01 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";53;Male;5;8;9;8;8;10;10;4;10;3;9;3;9;7;Yes;
2021/06/25 2:24:12 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";47;Female;5;9;9;9;9;10;10;6;6;7;6;6;6;10;Yes;Thank you
2021/06/25 2:24:31 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";30;Female;6;5;6;7;5;7;6;5;3;6;5;7;3;8;Yes;
2021/06/25 2:25:27 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";50;Female;9;8;9;8;8;5;6;9;5;4;9;8;8;9;Yes;I truly appreciate the confidence which you showed in this survey. This survey is very interesting to do.
2021/06/25 2:25:50 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";46;Male;3;8;3;6;3;7;7;10;10;10;9;6;10;10;Yes;Original study, well presented
2021/06/25 2:26:50 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";43;Female;10;7;9;7;9;7;6;8;9;10;8;8;10;10;Yes;
2021/06/25 2:28:30 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";49;Female;4;3;6;8;6;8;8;6;6;4;10;9;3;8;Yes;This survey was tough (not sure I understood the reasoning behind using the symbols instead of just words to make the questions clearer, but I'm guessing it was a necessary element of the research?) Nonetheless it was interesting to see exactly how I process addition of new information to an existing worldview. Thanks!
2021/06/25 2:29:25 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";34;Female;8;8;7;9;7;7;9;8;6;8;9;8;9;9;Yes;
2021/06/25 2:31:27 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";40;Male;9;8;9;9;9;9;9;9;9;9;9;9;9;9;Yes;neutral
2021/06/25 2:31:28 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";28;Male;10;1;10;10;1;1;10;10;10;1;10;10;2;10;Yes;Nice task 
2021/06/25 2:36:44 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";45;Female;1;10;10;10;10;10;10;10;1;10;1;10;1;10;Yes;
2021/06/25 2:44:32 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";29;Male;7;7;9;9;7;6;9;6;5;10;8;7;9;8;Yes;None
2021/06/25 2:46:14 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";40;Female;8;6;7;7;6;9;9;7;3;2;9;6;4;9;Yes;
2021/06/25 2:47:14 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";27;Male;10;10;10;9;10;10;9;10;9;10;8;9;8;9;Yes;
2021/06/25 2:49:15 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";28;Female;3;8;2;9;3;8;9;1;2;2;1;1;1;9;Yes;I did try to understand and read/comprehend pretty hard, but this is INTENSE. 
2021/06/25 2:51:39 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";33;Male;7;10;10;10;10;10;10;10;2;2;10;10;1;10;Yes;
2021/06/25 2:52:09 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";38;Male;9;10;10;9;9;10;10;7;8;8;9;8;7;9;Yes;GOOD
2021/06/25 3:00:12 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";34;Male;8;6;9;6;8;5;7;6;8;4;8;4;8;7;Yes;Great
2021/06/25 3:14:06 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";43;Male;7;6;6;5;5;6;6;5;5;5;5;6;6;7;Yes;no
2021/06/25 3:20:26 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";24;Male;4;8;8;8;8;7;8;6;6;8;10;8;7;9;Yes;
2021/06/25 3:21:11 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";40;Female;8;6;7;7;7;4;4;10;4;5;10;9;5;10;Yes;
2021/06/25 3:23:59 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";53;Female;8;3;7;7;8;9;9;7;2;7;3;6;9;8;Yes;I would love to know if I got those right or not :)
2021/06/25 3:33:32 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";36;Female;8;7;5;6;6;7;7;4;4;3;4;3;3;9;Yes;No
2021/06/25 3:37:35 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";25;Female;3;7;5;6;4;8;7;8;9;9;9;8;8;9;Yes;
2021/06/25 3:41:26 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";29;Male;1;1;10;10;10;1;5;10;10;1;10;1;10;10;Yes;I appreciate the opportunity.
2021/06/25 3:43:56 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";44;Female;9;9;10;9;10;9;10;8;9;10;8;9;10;9;Yes;GOOD
2021/06/25 3:55:20 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";57;Male;8;9;9;9;9;10;9;10;2;8;7;4;6;8;Yes;none
2021/06/25 4:12:36 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";56;Female;8;8;6;8;9;5;6;3;5;8;2;2;7;9;Yes;The print is a little small...but otherwise all good and interesting.
2021/06/25 4:19:18 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";24;Female;7;6;3;6;7;7;9;5;5;6;7;7;6;8;Yes;
2021/06/25 4:23:27 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";39;Male;6;5;7;6;6;7;6;6;5;6;5;7;5;5;Yes;
2021/06/25 4:39:38 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";43;Female;4;1;5;6;6;1;1;10;6;10;10;6;10;10;Yes;
2021/06/25 6:01:45 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";38;Male;8;3;3;3;3;10;10;8;8;8;10;8;10;10;Yes;"Complex but interesting; thanks"
2021/06/25 6:21:01 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";55;Female;8;5;7;10;9;10;10;10;10;10;10;10;10;10;Yes;
2021/06/25 6:47:10 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";38;Female;6;6;7;6;7;9;8;5;7;8;5;6;7;7;Yes;no
2021/06/25 8:00:58 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";30;Female;9;9;8;9;8;8;9;10;10;9;9;8;9;7;Yes;
2021/06/26 5:34:26 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";31;Female;8;8;6;9;7;9;7;8;6;9;8;8;9;9;Yes;nice survey.
