captcha_code,batch_code,consent,age,gender,rank_R5_premise,rank_R5_conclusion_1,rank_R5_conclusion_2,rank_R6_premise,rank_R6_conclusion,rank_R7_premise,rank_R7_conclusion,rank_R8_premise,rank_R8_conclusion_1,rank_R8_conclusion_2,mturk_ID_consent,feedback,inclusion_criteria_age,inclusion_criteria_location,inclusion_criteria_language,year,month,day,hour,minute,second
Option 2,B1,Yes,41,Male,7,9,1,10,10,10,10,5,10,4,Yes,thank you!,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,8,18,50,9
Option 2,B2,Yes,62,Male,4,8,3,5,5,8,10,8,9,5,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,21,15,34,54
Option 2,B2,Yes,57,Male,3,9,2,6,6,9,9,8,3,3,Yes,Thank you!,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,21,14,34,10
Option 2,B1,Yes,39,Male,2,10,2,10,10,10,10,10,9,10,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,16,15,11,42
Option 2,B2,Yes,31,Female,8,3,7,10,9,6,4,7,3,3,Yes,"I'm not sure how well I did, but it was interesting. Haven't done any HIT like this before (other than part 1 obviously). Thanks!",I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,21,14,40,42
Option 2,B1,Yes,66,Female,8,6,5,10,10,7,9,9,6,6,Yes,None at this time.,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,16,14,52,10
Option 2,B1,Yes,36,Female,9,6,9,6,8,8,5,7,9,9,Yes,ALL ARE GOOD,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,10,6,37,35
Option 2,B1,Yes,74,Female,8,10,3,10,10,10,10,10,3,4,Yes,"none, thank you",I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,9,1,37,30
Option 2,B1,Yes,33,Female,2,8,2,10,10,10,10,9,7,7,Yes,no,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,13,14,51,41
Option 2,B2,Yes,31,Female,2,10,3,10,10,10,10,8,9,10,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,26,21,6,0
