"Timestamp","Select only the cat in this Google Form","I agree to participate in this research","Please confirm that you satisfy all the inclusion criteria by selecting the checkboxes that apply to you","Age","Gender","William M does work in a zoo follows from the revision of K with the new information that William M does work with animals.","K includes not only the beliefs contained in it, but also the consequences which follow from K. ","The result of revising K with the new information that Zeeta M is a classical pianist, also contains the information which follows from the result of revising K with the new information that Zeeta M is a classical pianist.","Jacob B does drive at night follows from revising K with the the new information that Jacob B is a truck driver.","Jacob B does drive at night follows from expanding K with the new information that Jacob B is a truck driver.","K is satisfiable with respect to the new information that Jessica B is a yoga instructor.","Jessica B does teach breathing exercises follows from the expansion of K with the the new information that Jessica B is a yoga instructor.","Jessica B does teach breathing exercises follows from the revision of K with the the new information that Jessica B is a yoga instructor.","The new information that Chris P is waiter is contained in the revision of K with the new information that Chris P is a waiter.","I confirm that I have noted the above verification code for submission on Mechanical Turk.","Please type your Mechanical Turk WorkerID in the space below.","Would you be interested in taking part 2 of this survey?  ","Finally, any thoughts you wish to add about your experience participating in this survey?"
"2021/04/01 3:24:44 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","38","Female","7","9","6","7","9","7","8","9","8","Yes","AHYTT3T8W9Y9Y","Yes",""
"2021/04/01 3:44:03 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","33","Male","7","8","8","9","5","8","10","9","9","Yes","A2EMTSJS47K8SU","Yes","I found this much more interesting than I expected!"
"2021/04/01 3:49:59 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","36","Male","10","10","10","8","8","10","8","8","10","Yes","A2JCK494NV7TFX","Yes",""
"2021/04/01 4:03:01 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","31","Male","8","8","4","7","4","8","7","9","4","Yes","AIHUIAQ4922K3","Yes",""
"2021/04/01 4:09:19 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","44","Male","9","10","9","9","9","3","9","7","10","Yes","A34DYM8J0X5VK","Yes","N/A"
"2021/04/01 4:12:40 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","62","Female","8","2","8","8","8","7","7","7","8","Yes","A1P2RQ166VS5BT","Yes","NONE"
"2021/04/01 4:21:11 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","42","Male","9","7","7","9","6","8","8","6","9","Yes","A23KAJRDVCVGOE","Yes",""
"2021/04/01 4:34:27 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","43","Male","10","7","10","10","10","7","8","10","10","Yes","A17PAE30BGBO1T","Yes","None"
"2021/04/01 4:53:07 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","51","Male","7","7","8","7","6","5","7","9","7","Yes","ADAL2H41ZBWAK","Yes","I do not have any thoughts to add."
"2021/04/15 2:31:43 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","31","Female","9","10","9","9","6","5","9","7","8","Yes","AZ8JL3QNIPY4U","Yes",""
"2021/04/15 2:32:16 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","25","Male","10","7","9","6","10","7","10","7","10","Yes","A10T0161B70BXP","Yes",""
"2021/04/15 2:36:10 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","57","Female","8","3","7","8","8","4","7","9","6","Yes","A348NEQKS6VNIB","Yes","I enjoyed this thought provoking study and appreciate the opportunity to participate in your research."
"2021/04/15 2:38:54 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","37","Male","8","8","8","9","8","9","9","9","9","Yes","A7P3R1AIA4TVV","Yes","I understood what you were asking, but I thought it was presented in an unnecessarily complicated way"
"2021/04/15 2:39:55 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","35","Male","8","8","6","9","9","6","7","7","8","Yes","AU849EHZNGV2Z","Yes","No problems."
"2021/04/15 2:43:50 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","57","Male","10","10","8","5","5","10","7","8","10","Yes","AM2WGEJDWJY1I","Yes","Thank you!"
"2021/04/15 2:45:00 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","31","Male","8","10","7","10","10","8","3","7","10","Yes","A13B52O6OQBPO","Yes",""
"2021/04/15 2:47:41 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","39","Male","2","8","8","4","4","10","6","6","10","Yes","AMLZT92RF3MYY","Yes","I enjoyed this survey, and thinking about these topics abstractly and systemically. Would definitely be interested in doing more of these types of surveys. Thank you"
"2021/04/15 2:49:04 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","32","Male","10","8","1","10","10","6","10","10","1","Yes","A3RD4M6HFHIO7Z","Yes","Given the instructions I was given along with the definitions, I did the best I could with answering the provided questions. The directions were difficult to interpret and an example of the different types of questions rather than just a practice question would be most helpful. I honestly did the best I could and answered the questions based on my interpretation of the instructions. "
"2021/04/15 2:56:30 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","38","Male","8","9","9","8","9","10","9","8","10","Yes","A3CTXNQ2GXIQSP","Yes",""
"2021/04/15 3:00:55 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","39","Male","10","9","10","10","10","10","10","10","10","Yes","AMPMTF5IAAMK8","Yes",""
"2021/04/15 3:04:51 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","45","Female","8","9","10","7","9","10","9","7","9","Yes","AJACXA5FC5BYZ","Yes","It was sort of difficult!"
"2021/04/15 3:08:33 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","25","Female","10","7","5","6","6","5","6","6","5","Yes","A3D2U4QF7821ZW","Yes","It was a little confusing at times, but seems like an interesting experiment."
"2021/04/15 3:09:58 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","58","Female","8","8","9","4","4","8","9","9","10","Yes","A3FBC5W56LKQXL","Yes","No."
"2021/04/15 3:10:03 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","24","Female","10","10","10","10","10","10","10","10","10","Yes","AMTTB8JUWRRM7","Yes",""
"2021/04/15 3:16:47 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","58","Male","8","9","9","9","9","8","9","9","9","Yes","A2MOKIEQZ0OF2M","Yes","I enjoyed it thanks."
"2021/04/15 3:26:12 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","28","Male","9","9","9","7","8","6","8","7","9","Yes","A19HMCT6V15WRU","Yes",""
"2021/04/15 3:47:07 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","31","Female","10","10","8","9","8","10","6","8","10","Yes","ANPCXN619ACW9","Yes",""
"2021/04/15 3:48:49 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","28","Male","6","9","3","7","6","7","7","6","8","Yes","A3QOMMIZTW0XF1","Yes",""
"2021/04/15 3:50:53 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","62","Male","9","9","9","8","9","4","8","8","10","Yes","AJXIC6Q5EM76P","Yes",""
"2021/04/15 4:08:18 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","35","Male","8","9","7","5","6","9","8","7","9","Yes","A1IS0218RVG60K","Yes",""
"2021/04/15 4:23:01 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","66","Female","10","8","7","7","8","8","9","5","5","Yes","AOS2PVHT2HYTL","Yes","Kind of an odd survey......"
"2021/04/15 4:50:49 pm EET","Option 3","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","60","Male","10","9","9","10","9","8","10","10","9","Yes","A1V2H0UF94ATWY","Yes","no"
