consent,captcha_code,language_question,rank_statement_25,explanation_statement_25,rank_statement_26,explanation_statement_26,rank_statement_27,explanation_statement_27,rank_statement_28,explanation_statement_28,rank_statement_29,explanation_statement_29,rank_statement_30,explanation_statement_30,mturk_ID_consent,feedback,year,month,day,hour,minute,second
Yes,XXHMCF,fragile,strongly agree,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,neutral,I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.;I do not endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,agree,I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,agree,I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.,neutral,I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.,strongly agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,none today.,2020,11,25,16,50,33
Yes,8WRXAJ,fragile,strongly agree,I do endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.,agree,I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.,agree,I do not endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.,agree,I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.,agree,I do not endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.,agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,nice,2020,11,25,16,16,30
Yes,9Q61WP,fragile,agree,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.;I do endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.;I do not endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,agree,I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.;I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.;I do not endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,agree,I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.;I do not endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.;I do not endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,strongly agree,I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.;I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.,agree,I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.;I do not endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.,agree,I do not endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.,Yes,excellent.i want daily in this survey regularly.,2020,11,25,15,56,54
Yes,MH7HGB,fragile,strongly agree,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,disagree,I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.;I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.;She could also be far-sighted,agree,I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.,agree,I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.,agree,I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.,strongly agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,It was very quick and simple.  I hope my small contribution helps in some way.  Thanks.,2020,11,25,16,19,24
Yes,X85IYN,fragile,strongly agree,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,disagree,I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,strongly agree,I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.,disagree,I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.,disagree,I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.,strongly agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,"Great pay, fun to do",2020,11,25,16,15,34
Yes,HTNTT,fragile,agree,I do not endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,strongly disagree,I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,neutral,I do not endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,strongly disagree,I do not endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.,neutral,I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.,neutral,I do endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.,Yes,NA,2020,11,25,16,59,34
Yes,VQRYOX,fragile,neutral,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,neutral,I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.,agree,I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.,neutral,I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.,neutral,I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.,agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,interesting,2020,11,25,16,1,11
Yes,H9ECFK,fragile,disagree,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,neutral,I do not endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,strongly agree,I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.,agree,I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.,strongly agree,I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.,agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,GOOD,2020,11,25,18,26,6
Yes,KHVDKE,fragile,strongly agree,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,disagree,I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,disagree,I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,agree,I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.,neutral,I don't know what a boffin is,strongly agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,NA,2020,11,25,17,9,53
Yes,VQRYOX,fragile,strongly agree,I do not endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,disagree,I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,agree,I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,strongly agree,I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.,disagree,I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.,strongly agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,NA,2020,11,25,15,56,9
Yes,2EP5WD,fragile,strongly agree,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,strongly disagree,I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,agree,I do endorse the statement that Quentin O is a nurse. I mostly endorse the statement that Quentin O does have a caring bedside manner.,disagree,I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.,disagree,I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.,strongly agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,NA,2020,11,25,16,2,35
Yes,VQRYOX,fragile,agree,I do endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.,agree,I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.,agree,I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.,agree,I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.,agree,I do not endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.,agree,I do endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.,Yes,good,2020,11,25,16,6,36
Yes,I9PSB,fragile,agree,I do not endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,strongly agree,I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.,strongly disagree,I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,strongly disagree,I do not endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.,strongly disagree,I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.,strongly agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,NA,2020,11,25,15,53,12
Yes,VQRYOX,fragile,strongly agree,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,neutral,I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,disagree,I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,disagree,I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.,agree,I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.,strongly agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,This was a little confusing but I did my best,2020,11,25,15,50,44
Yes,VQRYOX,fragile,strongly agree,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,neutral,I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.;I do not endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,agree,I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.,disagree,I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.,agree,I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.,strongly agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,"NA",2020,11,25,15,53,26
Yes,3OUM8L,fragile,agree,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,strongly disagree,I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,agree,I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.,agree,I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.,agree,I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.,strongly agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,I thought this was simple but I find myself second-guessing myself.....,2020,11,25,15,57,15
Yes,HE694S,fragile,agree,I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,agree,I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.,neutral,I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,neutral,I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.,agree,I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.,agree,I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,na,2020,11,25,15,57,7
Yes,YA0VQ9,fragile,agree,I do not endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.,agree,I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.,neutral,I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.,disagree,I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.,agree,I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.,strongly agree,I do not endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.,Yes,very nice survey.,2020,11,25,16,1,21
Yes,L0CEY,fragile,agree,I do not endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.,agree,I do not endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.,strongly agree,I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.,agree,I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.,agree,I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.,agree,I do endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.,Yes,Such a good experience.,2020,11,25,16,18,35
Yes,EMYJHO,fragile,agree,I do endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.,agree,I do not endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.,agree,I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.,agree,I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.,agree,I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.,agree,I do not endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.,Yes,good,2020,11,25,16,15,17
