consent,captcha_code,language_question,rank_statement_1,explanation_statement_1,rank_statement_2,explanation_statement_2,rank_statement_3,explanation_statement_3,rank_statement_4,explanation_statement_4,rank_statement_5,explanation_statement_5,rank_statement_6,explanation_statement_6,mturk_ID_consent,feedback,year,month,day,hour,minute,second
Yes,VQXP2W,tangled,strongly agree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,strongly agree,I do endorse the statement that Rochelle P is a ballerina. I do not endorse the statement that Rochelle P does listen to classical music.,strongly agree,I do endorse the statement that Jacob B is a truck driver. I do not endorse the statement that Jacob B does drive at night.,strongly agree,I do not endorse the statement that Amy W is a lawyer. I do not endorse the statement that Amy W does wear a suit to work.,strongly agree,I do endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do not endorse the statement that Zeeta M is a classical pianist.,Yes,NA,2020,11,23,14,52,44
Yes,ARWZRQ,tangled,agree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,agree,I do endorse the statement that Rochelle P is a ballerina. I do endorse the statement that Rochelle P does listen to classical music.,neutral,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,strongly agree,I do endorse the statement that Amy W is a lawyer. I do not endorse the statement that Amy W does wear a suit to work.,agree,I do not endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,disagree,I do not endorse the statement that Zeeta M is a classical pianist. I do not endorse the statement that Zeeta M is a classical pianist.,Yes,very nice experience all statements are very interested,2020,11,23,15,11,58
Yes,R794R,tangled,agree,good,agree,good,agree,good,agree,good,agree,I do endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,good,2020,11,23,19,31,52
Yes,HKA28O,tangled,disagree,I do endorse the statement that Damian S is an aeroplane pilot. I do not endorse the statement that Damian S has visited different countries.,strongly agree,I do endorse the statement that Rochelle P is a ballerina. I do endorse the statement that Rochelle P does listen to classical music.,agree,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,agree,I do endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.,strongly agree,I do endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,Very interesting survey. I found myself reading the statements aloud multiple times before finally deciding on what I agree/disagree with.,2020,11,23,17,26,33
Yes,6I65UB,tangled,agree,I do endorse the statement that Damian S is an aeroplane pilot. I do not endorse the statement that Damian S has visited different countries.;I do not endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,agree,I do not endorse the statement that Rochelle P is a ballerina. I do endorse the statement that Rochelle P does listen to classical music.;I do not endorse the statement that Rochelle P is a ballerina. I do not endorse the statement that Rochelle P does listen to classical music.,strongly agree,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.;I do not endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,agree,I do not endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.;I do not endorse the statement that Amy W is a lawyer. I do not endorse the statement that Amy W does wear a suit to work.,neutral,I do endorse the statement that Mark M is a science professor. I do not endorse that Mark M does enjoy solving problems.;I do not endorse the statement that Mark M is a science professor. I do not endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do not endorse the statement that Zeeta M is a classical pianist.;I do not endorse the statement that Zeeta M is a classical pianist. I do not endorse the statement that Zeeta M is a classical pianist.,Yes,no,2020,11,23,19,39,9
Yes,V6N3JH,tangled,disagree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,agree,I do endorse the statement that Rochelle P is a ballerina. I do endorse the statement that Rochelle P does listen to classical music.,strongly agree,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,strongly agree,I do endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.,disagree,I do endorse the statement that Mark M is a science professor. I do not endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,NA,2020,11,23,19,36,21
Yes,OVLZP,tangled,strongly agree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,strongly disagree,I do endorse the statement that Rochelle P is a ballerina. I do not endorse the statement that Rochelle P does listen to classical music.,strongly agree,I do not endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,agree,I do endorse the statement that Amy W is a lawyer. I do not endorse the statement that Amy W does wear a suit to work.,strongly agree,I do endorse the statement that Mark M is a science professor. I do not endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do not endorse the statement that Zeeta M is a classical pianist.,Yes,No,2020,11,23,14,13,59
Yes,7G06Z,tangled,agree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,strongly agree,I do endorse the statement that Rochelle P is a ballerina. I do endorse the statement that Rochelle P does listen to classical music.,agree,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,strongly agree,I do endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.,strongly agree,I do endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,"No, nothing else to add.",2020,11,23,20,40,3
Yes,WUDMBC,tangled,strongly agree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,strongly agree,I do endorse the statement that Rochelle P is a ballerina. I do endorse the statement that Rochelle P does listen to classical music.,strongly agree,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,strongly agree,I do endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.,strongly agree,I do endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,this is really unique task to do from my sight,2020,11,23,14,9,32
Yes,2X3J9D,tangled,neutral,I do endorse the statement that Damian S is an aeroplane pilot. I do not endorse the statement that Damian S has visited different countries.,neutral,I do endorse the statement that Rochelle P is a ballerina. I do not endorse the statement that Rochelle P does listen to classical music.,agree,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,strongly agree,I do endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.,agree,I do endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,NA,2020,11,23,21,13,33
Yes,3YHC7O,tangled,agree,I do endorse the statement that Damian S is an aeroplane pilot. I do not endorse the statement that Damian S has visited different countries.,disagree,I do endorse the statement that Rochelle P is a ballerina. I do not endorse the statement that Rochelle P does listen to classical music.,agree,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,disagree,I do endorse the statement that Amy W is a lawyer. I do not endorse the statement that Amy W does wear a suit to work.,strongly agree,I do endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,Thanks,2020,11,23,13,17,44
Yes,8SZR6,tangled,agree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,disagree,I do endorse the statement that Rochelle P is a ballerina. I do not endorse the statement that Rochelle P does listen to classical music.,strongly agree,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,agree,I do not endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.,agree,I do endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,NA,2020,11,23,10,53,10
Yes,8EV8A9,tangled,strongly agree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,agree,I do endorse the statement that Rochelle P is a ballerina. I do not endorse the statement that Rochelle P does listen to classical music.,strongly agree,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,agree,I do endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.;I do endorse the statement that Amy W is a lawyer. I do not endorse the statement that Amy W does wear a suit to work.,agree,I do endorse the statement that Mark M is a science professor. I do not endorse that Mark M does enjoy solving problems.,agree,I do endorse the statement that Zeeta M is a classical pianist. I do not endorse the statement that Zeeta M is a classical pianist.,Yes,interesting,2020,11,23,14,9,18
Yes,5A7WYL,tangled,agree,I do endorse the statement that Damian S is an aeroplane pilot. I do endorse the statement that Damian S has visited different countries.,agree,I do endorse the statement that Rochelle P is a ballerina. I do endorse the statement that Rochelle P does listen to classical music.,agree,I do endorse the statement that Jacob B is a truck driver. I do endorse the statement that Jacob B does drive at night.,agree,I do endorse the statement that Amy W is a lawyer. I do endorse the statement that Amy W does wear a suit to work.;I do endorse the statement that Amy W is a lawyer. I do not endorse the statement that Amy W does wear a suit to work.,agree,I do endorse the statement that Mark M is a science professor. I do endorse that Mark M does enjoy solving problems.,strongly agree,I do endorse the statement that Zeeta M is a classical pianist. I do endorse the statement that Zeeta M is a classical pianist.,Yes,NICE SURVEY,2020,11,23,15,27,11
