access_code,captcha_code,consent,age,gender,rank_U6_premise,rank_U6_conclusion_1,rank_U6_conclusion_2,rank_U7_premise,rank_U7_conclusion,rank_U8_conclusion_1,rank_U8_conclusion_2,rank_U9_premise,rank_U9_conclusion,mturk_ID_consent,feedback,inclusion_criteria_age,inclusion_criteria_location,inclusion_criteria_language,year,month,day,hour,minute,second
BUbu2021$$,Option 2,Yes,50,Female,10,8,8,9,7,6,7,8,7,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,28,15,47,2
BUbu2021$$,Option 2,Yes,37,Male,10,10,10,9,8,9,2,10,9,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,29,23,58,21
BUbu2021$$,Option 2,Yes,53,Female,5,7,3,8,6,9,3,7,8,Yes,no comments,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,28,14,55,15
BUbu2021$$,Option 2,Yes,33,Male,10,10,10,10,10,7,7,10,10,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,28,17,13,26
BUbu2021$$,Option 2,Yes,39,Male,4,5,6,4,3,6,5,4,5,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,28,18,28,36
BUbu2021$$,Option 2,Yes,29,Male,8,4,7,7,5,6,9,4,7,Yes,No,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,26,4,46,48
BUbu2021$$,Option 2,Yes,40,Female,8,6,8,3,3,4,4,4,6,Yes,Serious doubts about my accurate comprehension of the exercise.,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,28,2,32,3
BUbu2021$$,Option 2,Yes,36,Male,7,6,8,7,5,7,8,7,6,Yes,Thanks Clayton! Good luck on your research.,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,28,39
BUbu2021$$,Option 2,Yes,47,Female,7,8,8,9,9,8,7,6,5,Yes,Thank you,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,30,14
BUbu2021$$,Option 2,Yes,38,Male,8,9,7,8,10,9,9,7,10,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,18,31,31
BUbu2021$$,Option 2,Yes,25,Female,8,7,8,4,8,3,2,7,8,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,15,40,20
BUbu2021$$,Option 2,Yes,28,Male,10,1,10,9,10,10,9,1,10,Yes,Nice task and thanks for the opportunity,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,35,9
BUbu2021$$,Option 2,Yes,28,Male,3,10,3,10,8,10,3,8,8,Yes,No,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,50,51
BUbu2021$$,Option 2,Yes,42,Male,10,10,10,4,10,10,2,9,9,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,38,33
BUbu2021$$,Option 2,Yes,43,Female,9,7,9,9,10,8,10,9,9,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,22,18,29
BUbu2021$$,Option 2,Yes,46,Male,8,7,9,8,9,3,5,9,9,Yes,very different from the usual copy/paste research seen on Mturk,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,28,13,45,25
BUbu2021$$,Option 2,Yes,24,Female,8,6,7,4,7,9,5,7,8,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,16,28,42
BUbu2021$$,Option 2,Yes,25,Male,1,8,1,1,4,5,3,8,9,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,21,46
BUbu2021$$,Option 2,Yes,27,Male,10,10,9,9,10,10,9,10,9,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,15,56,23
BUbu2021$$,Option 2,Yes,30,Female,5,7,4,6,7,10,10,1,1,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,42,16
BUbu2021$$,Option 2,Yes,57,Male,4,6,4,2,6,8,6,8,5,Yes,Sometimes I felt lost as if I was taking a quiz on a subject that was taught in a class I never attended; However did find it interesting.,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,17,30,58
BUbu2021$$,Option 2,Yes,36,Female,5,4,7,9,9,7,8,3,5,Yes,No,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,26,17,22,50
BUbu2021$$,Option 2,Yes,53,Male,8,9,6,6,8,5,8,8,7,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,26,11,52,3
